6254	0.655384
3806	0.541779
1560	0.5416754
8388	0.5416466
7255	0.541601
3806 8388	0.526087
1560 3806	0.5260668
3806 7255	0.5260112
1560 8388	0.5259786
1560 7255	0.5259268
7255 8388	0.5259106
1560 3806 8388	0.5121584
3806 7255 8388	0.5121268
1560 3806 7255	0.5120992
1560 7255 8388	0.5120194
1560 3806 7255 8388	0.4996182
7159	0.469618
2399	0.4633166
345	0.4632998
384	0.4632928
216	0.4632902
1856	0.4632742
7778	0.4632728
4456	0.4632608
9194	0.4632458
5494	0.463236
6254 7159	0.4608802
345 6254	0.4545906
2399 6254	0.454586
216 6254	0.4545706
384 6254	0.454569
1856 6254	0.4545656
6254 7778	0.4545464
4456 6254	0.4545388
6254 9194	0.454534
5494 6254	0.4545224
2399 7159	0.4535074
345 7159	0.4535058
384 7159	0.4534884
1856 7159	0.4534792
216 7159	0.4534682
4456 7159	0.4534674
7159 7778	0.4534652
216 2399	0.4534494
384 2399	0.453437
5494 7159	0.4534364
216 384	0.4534326
7159 9194	0.453427
345 384	0.4534254
345 2399	0.4534192
345 1856	0.4534106
2399 7778	0.4534066
345 7778	0.4533998
384 1856	0.4533982
1856 2399	0.4533968
216 4456	0.453394
345 4456	0.4533934
2399 4456	0.4533932
216 345	0.4533914
216 1856	0.45339
384 4456	0.4533898
345 9194	0.4533838
2399 9194	0.4533818
384 7778	0.4533782
216 7778	0.4533744
2399 5494	0.4533742
1856 7778	0.4533718
384 9194	0.453366
1856 9194	0.4533636
1856 4456	0.4533632
4456 7778	0.453363
384 5494	0.4533624
345 5494	0.4533576
216 5494	0.453357
216 9194	0.453349
5494 7778	0.4533478
7778 9194	0.453346
4456 9194	0.4533388
1856 5494	0.4533298
4456 5494	0.45332
5494 9194	0.4532976
345 6254 7159	0.44519
2399 6254 7159	0.4451714
1856 6254 7159	0.4451612
384 6254 7159	0.4451602
216 6254 7159	0.445144
4456 6254 7159	0.4451348
6254 7159 7778	0.4451318
216 2399 6254	0.4451308
345 384 6254	0.4451246
345 1856 6254	0.4451206
5494 6254 7159	0.4451174
216 384 6254	0.4451146
384 2399 6254	0.4451116
345 2399 6254	0.4451114
6254 7159 9194	0.4451112
345 6254 9194	0.4450938
384 1856 6254	0.4450936
216 345 6254	0.4450924
345 6254 7778	0.4450922
1856 2399 6254	0.4450898
216 1856 6254	0.4450888
345 4456 6254	0.4450846
216 4456 6254	0.4450804
2399 6254 7778	0.4450756
384 4456 6254	0.4450712
2399 6254 9194	0.44507
2399 4456 6254	0.44507
1856 6254 9194	0.4450658
1856 6254 7778	0.4450658
345 5494 6254	0.4450638
216 6254 7778	0.4450616
2399 5494 6254	0.4450602
384 6254 7778	0.445059
384 6254 9194	0.4450586
1856 4456 6254	0.4450582
384 5494 6254	0.4450554
216 5494 6254	0.4450508
216 6254 9194	0.4450492
4456 6254 7778	0.4450434
1856 5494 6254	0.445036
6254 7778 9194	0.4450358
5494 6254 7778	0.4450356
4456 6254 9194	0.445034
4456 5494 6254	0.4450106
5494 6254 9194	0.4450042
384 2399 7159	0.444099
345 384 7159	0.4440976
345 1856 7159	0.4440942
216 2399 7159	0.444092
345 2399 7159	0.4440844
216 384 7159	0.4440776
345 4456 7159	0.4440742
345 7159 7778	0.444072
384 1856 7159	0.4440714
2399 4456 7159	0.4440664
1856 2399 7159	0.4440664
216 384 2399	0.4440652
2399 7159 7778	0.4440622
384 4456 7159	0.444062
216 345 7159	0.4440536
216 4456 7159	0.4440534
216 1856 7159	0.444046
1856 4456 7159	0.4440454
345 7159 9194	0.4440422
1856 7159 7778	0.4440404
384 7159 7778	0.444039
345 5494 7159	0.4440378
2399 5494 7159	0.4440362
4456 7159 7778	0.4440332
384 5494 7159	0.4440282
2399 7159 9194	0.4440254
345 384 2399	0.4440226
1856 7159 9194	0.4440218
345 384 1856	0.44402
384 7159 9194	0.44402
216 7159 7778	0.4440196
216 2399 4456	0.4440192
216 384 4456	0.4440178
216 345 384	0.4440168
216 384 1856	0.4440146
5494 7159 7778	0.444011
216 345 2399	0.4440102
216 1856 2399	0.444008
345 384 4456	0.4440076
216 5494 7159	0.4440074
384 1856 2399	0.4440056
1856 5494 7159	0.4440054
216 2399 7778	0.4440048
384 2399 4456	0.4440032
4456 5494 7159	0.444
4456 7159 9194	0.443998
384 2399 7778	0.443994
345 1856 2399	0.4439902
7159 7778 9194	0.44399
345 384 7778	0.4439868
216 2399 5494	0.443986
345 2399 7778	0.4439856
345 384 9194	0.4439844
216 7159 9194	0.4439842
345 2399 4456	0.443984
345 1856 7778	0.4439836
345 1856 9194	0.4439822
216 345 1856	0.443982
216 345 4456	0.443981
216 384 7778	0.443981
345 1856 4456	0.4439802
384 2399 9194	0.4439802
384 2399 5494	0.4439792
216 2399 9194	0.443979
216 384 5494	0.443979
345 2399 9194	0.443974
216 1856 4456	0.4439736
345 4456 7778	0.4439734
384 1856 4456	0.4439734
216 384 9194	0.4439704
345 384 5494	0.4439668
384 1856 9194	0.4439664
2399 4456 7778	0.4439648
1856 2399 7778	0.4439618
345 7778 9194	0.4439612
216 4456 7778	0.4439592
384 4456 7778	0.443959
384 1856 7778	0.4439572
345 4456 9194	0.4439568
1856 2399 9194	0.4439562
216 345 7778	0.4439544
2399 5494 7778	0.4439532
216 1856 7778	0.4439514
2399 7778 9194	0.4439508
5494 7159 9194	0.4439506
1856 2399 4456	0.4439486
345 2399 5494	0.4439476
345 5494 7778	0.4439444
384 4456 9194	0.4439436
216 1856 9194	0.443943
2399 4456 9194	0.4439422
384 1856 5494	0.443941
1856 4456 7778	0.4439406
216 4456 9194	0.4439394
216 4456 5494	0.4439392
345 1856 5494	0.4439388
384 5494 7778	0.4439384
384 4456 5494	0.443938
1856 7778 9194	0.4439368
216 345 9194	0.4439362
1856 4456 9194	0.4439352
216 5494 7778	0.4439304
216 345 5494	0.44393
384 7778 9194	0.44393
216 1856 5494	0.4439294
345 4456 5494	0.4439284
1856 2399 5494	0.4439252
2399 4456 5494	0.4439244
4456 7778 9194	0.4439178
1856 5494 7778	0.443916
4456 5494 7778	0.4439132
216 7778 9194	0.4439114
345 5494 9194	0.4439076
384 5494 9194	0.4439044
2399 5494 9194	0.4439034
1856 4456 5494	0.4438922
5494 7778 9194	0.4438862
1856 5494 9194	0.443886
216 5494 9194	0.443885
4456 5494 9194	0.4438644
345 1856 6254 7159	0.436165
345 384 6254 7159	0.4361614
345 2399 6254 7159	0.436142
